                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94691,                 1.2898,                  1.474,                0.86317,                0.74092,                0.81978,                0.59556,                  1.069,                 1.3894,                 1.6924,               0.006634,               0.006634,               0.006634
                     36,                0.93634,                 1.2681,                 1.4647,                0.85192,                 0.7493,                0.82911,                0.60241,                  1.058,                 1.3477,                 1.7005,               0.006535,               0.006535,               0.006535
                     37,                0.92912,                 1.2479,                  1.464,                0.86479,                 0.7526,                0.83239,                0.60343,                  1.065,                 1.3344,                 1.6949,               0.006436,               0.006436,               0.006436
                     38,                0.92092,                 1.2315,                 1.4491,                 0.8544,                0.74476,                0.83076,                0.60219,                 1.0537,                 1.3289,                 1.7103,               0.006337,               0.006337,               0.006337
                     39,                0.91854,                 1.2192,                 1.4489,                0.85194,                0.76902,                0.84162,                0.61084,                  1.048,                 1.3001,                 1.7017,               0.006238,               0.006238,               0.006238
                     40,                0.91458,                 1.2031,                 1.4542,                  0.857,                0.75805,                0.83717,                0.61205,                 1.0368,                 1.2956,                 1.6782,               0.006139,               0.006139,               0.006139
                     41,                0.91278,                 1.1994,                 1.4468,                0.85683,                0.75757,                0.83479,                0.61052,                 1.0454,                 1.3123,                 1.6838,                0.00604,                0.00604,                0.00604
                     42,                 0.9011,                 1.1796,                 1.4322,                 0.8614,                0.75779,                0.83638,                0.60913,                 1.0452,                 1.3069,                 1.6944,               0.005941,               0.005941,               0.005941
                     43,                0.89577,                 1.1699,                 1.4321,                 0.8829,                0.76861,                 0.8406,                0.61279,                 1.0389,                  1.285,                 1.6965,               0.005842,               0.005842,               0.005842
                     44,                0.89009,                  1.159,                 1.4211,                0.88683,                0.76281,                0.84023,                 0.6159,                  1.035,                  1.296,                 1.7123,               0.005743,               0.005743,               0.005743
                     45,                0.87806,                  1.143,                 1.4154,                0.89253,                0.77179,                0.84139,                0.61404,                 1.0418,                 1.2786,                 1.7171,               0.005644,               0.005644,               0.005644
                     46,                 0.8757,                 1.1443,                  1.414,                0.89403,                0.75912,                0.83821,                0.61377,                 1.0465,                 1.2819,                 1.7132,               0.005545,               0.005545,               0.005545
                     47,                0.86734,                 1.1162,                 1.4006,                0.85974,                0.76657,                0.84146,                0.61802,                 1.0426,                 1.2746,                 1.7019,               0.005446,               0.005446,               0.005446
                     48,                0.86444,                 1.1136,                  1.401,                0.89155,                0.76202,                0.84316,                0.61708,                 1.0345,                 1.2712,                 1.7361,               0.005347,               0.005347,               0.005347
                     49,                0.86024,                  1.101,                 1.3937,                0.87637,                0.77452,                  0.843,                0.61962,                 1.0329,                 1.2672,                  1.716,               0.005248,               0.005248,               0.005248
                     50,                0.85441,                 1.0901,                 1.3874,                0.88137,                0.75539,                0.84423,                0.62043,                 1.0296,                 1.2418,                  1.713,               0.005149,               0.005149,               0.005149
                     51,                0.85047,                 1.0898,                 1.3936,                0.86769,                0.76938,                0.83976,                0.61576,                 1.0347,                  1.258,                 1.7205,                0.00505,                0.00505,                0.00505
                     52,                0.84362,                 1.0718,                 1.3809,                0.86963,                 0.7704,                0.84564,                0.62125,                 1.0274,                 1.2395,                  1.716,               0.004951,               0.004951,               0.004951
                     53,                0.83775,                 1.0662,                 1.3694,                0.86028,                0.77358,                0.84018,                0.61612,                 1.0372,                 1.2637,                 1.6994,               0.004852,               0.004852,               0.004852
                     54,                0.83436,                 1.0626,                 1.3689,                0.88102,                0.77038,                0.84215,                0.61833,                 1.0336,                  1.255,                 1.7097,               0.004753,               0.004753,               0.004753
                     55,                0.82935,                 1.0475,                 1.3691,                0.88515,                0.77284,                0.84321,                0.61965,                 1.0334,                 1.2402,                 1.7212,               0.004654,               0.004654,               0.004654
                     56,                0.82424,                 1.0446,                 1.3518,                0.88662,                0.77124,                0.84198,                0.61938,                 1.0368,                 1.2543,                 1.7129,               0.004555,               0.004555,               0.004555
                     57,                0.81994,                  1.031,                  1.349,                0.89222,                0.76903,                0.84373,                0.62316,                 1.0252,                 1.2365,                 1.6959,               0.004456,               0.004456,               0.004456
                     58,                0.81434,                 1.0278,                 1.3497,                 0.8876,                0.77176,                0.84684,                 0.6228,                 1.0291,                 1.2347,                 1.7282,               0.004357,               0.004357,               0.004357
                     59,                0.80644,                 1.0245,                 1.3411,                0.87649,                0.77874,                0.84518,                0.62182,                 1.0348,                 1.2455,                 1.7382,               0.004258,               0.004258,               0.004258
                     60,                0.80499,                 1.0142,                 1.3373,                0.86502,                0.77867,                0.84386,                0.61763,                 1.0421,                 1.2261,                 1.7474,               0.004159,               0.004159,               0.004159
                     61,                0.80171,                0.99776,                 1.3382,                0.85552,                0.78325,                0.84416,                 0.6214,                 1.0315,                 1.2316,                 1.7354,                0.00406,                0.00406,                0.00406
                     62,                0.80164,                 1.0015,                 1.3358,                0.86607,                0.77183,                 0.8447,                0.62349,                 1.0312,                 1.2379,                 1.7345,               0.003961,               0.003961,               0.003961
                     63,                0.78797,                0.98639,                 1.3287,                0.87537,                0.77031,                0.84217,                 0.6214,                 1.0315,                 1.2472,                 1.7371,               0.003862,               0.003862,               0.003862
